Date,Open,High,Low,Volume,Close,Adj Close,Volume
02/01/2018,86.129997,86.309998,85.5,22483800,85.949997,85.17894,22483800
03/01/2018,86.059998,86.510002,85.970001,26061400,86.349998,85.575356,26061400
04/01/2018,86.589996,87.660004,86.57,21912000,87.110001,86.328537,21912000
05/01/2018,87.660004,88.410004,87.43,23407100,88.190002,87.398849,23407100
08/01/2018,88.199997,88.580002,87.599998,22113000,88.279999,87.488037,22113000
09/01/2018,88.650002,88.730003,87.860001,19484300,88.220001,87.428581,19484300
10/01/2018,87.860001,88.190002,87.410004,18652200,87.82,87.032166,18652200
11/01/2018,88.129997,88.129997,87.239998,17808900,88.080002,87.289833,17808900
12/01/2018,88.669998,89.779999,88.449997,24271500,89.599998,88.796204,24271500
16/01/2018,90.099998,90.790001,88.010002,36599700,88.349998,87.557411,36599700
17/01/2018,89.080002,90.279999,88.75,25602600,90.139999,89.331352,25602600
18/01/2018,89.800003,90.669998,89.660004,24159700,90.099998,89.29171,24159700
19/01/2018,90.139999,90.610001,89.660004,36875000,90,89.192604,36875000
22/01/2018,90,91.620003,89.739998,23601600,91.610001,90.78817,23601600
23/01/2018,91.900002,92.300003,91.540001,23412800,91.900002,91.075562,23412800
24/01/2018,92.550003,93.43,91.580002,33277500,91.82,90.996284,33277500
25/01/2018,92.470001,93.239998,91.93,26383200,92.330002,91.501709,26383200
26/01/2018,93.120003,94.059998,92.580002,29172200,94.059998,93.216187,29172200
29/01/2018,95.139999,95.449997,93.720001,31569900,93.919998,93.077446,31569900
30/01/2018,93.300003,93.660004,92.099998,38635100,92.739998,91.908028,38635100
31/01/2018,93.75,95.400002,93.510002,48756300,95.010002,94.157661,48756300
01/02/2018,94.790001,96.07,93.580002,47227900,94.260002,93.414398,47227900
02/02/2018,93.639999,93.970001,91.5,47867800,91.779999,90.956635,47867800
05/02/2018,90.559998,93.239998,88,51031500,88,87.210556,51031500
06/02/2018,86.889999,91.480003,85.25,67998600,91.330002,90.510681,67998600
07/02/2018,90.489998,91.769997,89.199997,41107600,89.610001,88.806107,41107600
08/02/2018,89.709999,89.879997,84.760002,55628700,85.010002,84.247375,55628700
09/02/2018,86.300003,88.93,83.830002,63499100,88.18,87.388939,63499100
12/02/2018,88.739998,89.779999,87.93,35720300,89.129997,88.330406,35720300
13/02/2018,88.93,90,87.800003,26407700,89.830002,89.024132,26407700
14/02/2018,88.510002,90.989998,88.410004,34960900,90.809998,90.418091,34960900
15/02/2018,91.209999,92.720001,90.620003,27823900,92.660004,92.260117,27823900
16/02/2018,92.449997,93.5,91.800003,30596900,92,91.602959,30596900
20/02/2018,91.480003,93.059998,91.010002,30911700,92.720001,92.319855,30911700
21/02/2018,92.980003,93.360001,91.489998,26922500,91.489998,91.095154,26922500
22/02/2018,92.050003,92.730003,91.360001,24392800,91.730003,91.334129,24392800
23/02/2018,93.599998,94.07,92.360001,26329200,94.059998,93.654068,26329200
26/02/2018,94.400002,95.449997,94.25,30199800,95.419998,95.008194,30199800
